Time-(UTC),Latitude-(degN),Longitude-(degE),Secchi-depth-(m),FU-(disk-1/2-Secchi-depth)
2022-10-18 20:14:38.114,34.14027945674418,-77.86291934550886,1.15,17
2022-11-02 17:58:23.412,34.13921987772534,-77.86554979277594,1.15,13
2023-05-05 12:50:00.208,34.14006827179811,-77.86220726588068,1.41,13
2023-06-01 19:14:03.753,34.14197778963133,-77.86719587735696,0.61,13
2023-06-05 16:07:28.948,34.139923538420675,-77.86424754237748,1.25,11
2023-06-05 18:59:52.476,34.139923538420675,-77.86424754237748,0.53,15
2023-06-06 13:17:47.712,34.139923538420675,-77.86424754237748,0.58,14
2023-06-06 16:39:57.183,34.139923538420675,-77.86424754237748,0.61,15
2023-06-07 13:16:48.796,34.13907087792279,-77.86562684626998,0.54,14
2023-06-07 16:05:32.472,34.13907087792279,-77.86562684626998,1.19,11
2023-06-07 19:14:06.335,34.13907087792279,-77.86562684626998,0.46,14
2023-06-08 13:30:54.202,34.13907087792279,-77.86562684626998,0.5,14
2023-06-08 16:17:37.762,34.13907087792279,-77.86562684626998,0.71,12
2023-06-08 19:12:35.827,34.13907087792279,-77.86562684626998,0.4,13
2023-06-12 16:12:45.930,34.13983318267104,-77.86415119405792,0.35,15
2023-06-12 19:12:57.467,34.13983318267104,-77.86415119405792,0.64,12
2023-06-15 13:10:29.870,34.139431166940035,-77.86472684816775,0.49,15
2023-06-15 16:14:55.177,34.139431166940035,-77.86472684816775,0.23,15
2023-06-15 19:07:56.263,34.139431166940035,-77.86472684816775,0.33,17
2023-06-19 13:21:28.945,34.13912139434392,-77.86585084064316,0.73,11
2023-06-19 15:56:49.135,34.13912139434392,-77.86585084064316,0.42,15
2023-06-20 13:10:15.626,34.14043019849456,-77.8634460679391,0.88,14
2023-06-20 16:29:02.257,34.14043019849456,-77.8634460679391,0.69,15
2023-06-20 19:13:04.339,34.14043019849456,-77.8634460679391,0.41,14
2023-06-21 13:21:30.625,34.1398695923456,-77.8625523502436,0.66,14
2023-06-21 15:43:12.518,34.1398695923456,-77.8625523502436,0.64,13
2023-06-21 19:28:58.530,34.1398695923456,-77.8625523502436,0.66,15
2023-06-22 13:06:01.951,34.139960124189166,-77.86239056855241,0.45,15
2023-06-27 13:11:26.678,34.139814781988164,-77.86249458797074,0.29,14
2023-07-03 15:54:21.520,34.14028152862999,-77.86354005149465,0.35,17
2023-07-03 19:09:08.509,34.14028152862999,-77.86354005149465,0.15,16
2023-07-05 16:06:34.401,34.14028152862999,-77.86354005149465,0.49,14
2023-07-24 17:35:22.352,34.14989900778434,-77.84614929005303,0.1,12
2023-07-24 17:36:32.236,34.14989900778434,-77.84614929005303,0.05,12
2023-07-25 11:34:41.539,27.07329183815511,-82.45069829509087,0.53,14
2023-07-27 11:25:20.852,27.072574929549372,-82.45253611854204,4.0,12
2023-08-09 18:59:28.647,43.07199697945574,-70.7115158066812,0.1,14
2023-08-12 11:56:07.828,27.083070331999867,-82.44481572605534,2.08,8
2023-08-15 19:42:24.491,28.992907376425165,-80.90391365071288,0.49,18
2023-08-16 16:23:43.927,28.946331639650204,-80.83871471990354,0.61,15
2023-08-23 19:00:25.234,29.027243756566072,-80.91934816478931,1.2,18
2023-08-25 15:58:17.961,27.85581149163456,-82.48157534755997,1.42,17
2023-08-25 17:09:47.844,27.333404435166017,-82.57958589929035,3.05,12
2023-08-25 17:24:49.608,27.300768694865795,-82.58829382255914,4.64,16
2023-08-31 17:00:47.249,28.9463624726644,-80.83877120367237,0.7,13
2023-09-02 16:00:48.710,29.026957144733156,-80.91954055145698,1.2,14
2023-09-03 11:37:13.448,27.076513940631486,-82.44965056422929,0.96,8
2023-09-03 15:15:46.832,27.308965626376562,-82.57425257697749,2.07,18
2023-09-03 15:26:34.075,27.308965626376562,-82.57425257697749,1.99,17
2023-09-03 17:21:18.828,27.31597099454637,-82.54684715539454,1.04,17
2023-09-07 14:15:51.251,29.027312733312623,-80.91979096168399,0.8,14
2023-09-11 19:57:01.991,27.889301846920034,-82.4806544755277,1.52,19
2023-09-15 20:48:47.871,29.026900797992084,-80.91901450694628,0.8,15
2023-09-17 16:35:58.875,27.310049305695397,-82.59161649279538,5.13,13
2023-09-25 12:57:23.328,38.97780897565091,-76.48661926395863,1.72,18
2023-09-25 12:58:30.028,38.977821758053246,-76.48674993782907,1.72,18
2023-09-25 13:00:22.644,38.97763182412738,-76.48701706908315,1.74,18
2023-09-25 13:01:22.663,38.97762733980934,-76.48699820980102,1.81,17
